code;name;position;_parent
1703;Andijon viloyati;97;1703
1703202;Oltinko'l tumani;98;1703
1703203;Andijon tumani;99;1703
1703206;Baliqchi tumani;100;1703
1703209;Bo'z tumani;101;1703
1703210;Buloqboshi tumani;102;1703
1703211;Jalaquduq tumani;103;1703
1703214;Izboskan tumani;104;1703
1703217;Ulug'nor tumani;105;1703
1703220;Qo'rg'ontepa tumani;106;1703
1703224;Asaka tumani;107;1703
1703227;Marxamat tumani;1;1703
1703230;Shaxrixon tumani;138;1703
1703232;Paxtaobod tumani;31;1703
1703236;Xo'jaobod tumani;32;1703
1703401;Andijon shahri;2;1703
1703408;Xonobod shahri;33;1703
1706;Buxoro viloyati;108;1706
1706204;Olot tumani;34;1706
1706207;Buxoro tumani;35;1706
1706212;Vobkent tumani;36;1706
1706215;G'ijduvon tumani;3;1706
1706219;Kogon tumani;37;1706
1706230;Qorako'l tumani;38;1706
1706232;Qorovulbozor tumani;39;1706
1706240;Peshku tumani;42;1706
1706242;Romitan tumani;40;1706
1706246;Jondor tumani;41;1706
1706258;Shofirkon tumani;4;1706
1706401;Buxoro shahri;43;1706
1706403;Kogon shahri;116;1706
1708;Jizzax viloyati;109;1708
1708201;Arnasoy tumani;44;1708
1708204;Baxmal tumani;45;1708
1708209;G'allaorol tumani;46;1708
1708212;Sharof Rashidov tumani;5;1708
1708215;Do'stlik tumani;47;1708
1708218;Zomin tumani;48;1708
1708220;Zarbdor tumani;49;1708
1708223;Mirzacho'l tumani;50;1708
1708225;Zafarobod tumani;51;1708
1708228;Paxtakor tumani;6;1708
1708235;Forish tumani;52;1708
1708237;Yangiobod tumani;53;1708
1708401;Jizzax shahri;54;1708
1710;Qashqadaryo viloyati;110;1710
1710207;G'uzor tumani;55;1710
1710212;Dehqonobod tumani;56;1710
1710220;Qamashi tumani;7;1710
1710224;Qarshi tumani;57;1710
1710229;Koson tumani;58;1710
1710232;Kitob tumani;59;1710
1710233;Mirishkor tumani;60;1710
1710234;Muborak tumani;61;1710
1710235;Nishon tumani;62;1710
1710237;Kasbi tumani;8;1710
1710242;Chiroqchi tumani;63;1710
1710245;Shahrisabz tumani;64;1710
